HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,7457.317871093746,7457.317871093743,0.0,0.0
1,6668.381781684036,6665.34741210937,0.0,0.0
2,6037.232910156257,6037.232910156272,0.0,0.0
3,5602.080457899306,5600.406794621395,0.0,0.0
4,5253.95849609379,5253.958496093765,0.0,0.0
5,5253.958496093741,5253.958496093747,0.0,0.0
6,5253.958496093739,5253.95849609375,0.0,0.0
7,3901.5223064811958,3973.3908962673595,0.0,0.0
8,7457.317871093746,7457.317871093746,0.0,0.0
9,7457.317871093746,7457.317871093746,0.0,0.0
10,7457.317871093746,7457.317871093746,0.0,0.0
11,7457.317871093746,7457.317871093746,0.0,0.0
12,7457.317871093746,7457.317871093746,0.0,0.0
13,7457.317871093746,7457.317871093746,0.0,0.0
14,7457.317871093746,7457.317871093746,0.0,0.0
15,44.021183013918744,44.02118301391329,0.0,0.0
16,97.38660007053113,97.591851674596,0.0,0.0
17,1903.818558031564,1890.3946386484013,0.0,0.0
18,4593.593920945204,4668.332832923317,0.0,0.0
19,7356.667325191571,7406.799039400542,0.0,0.0
20,7457.317871093771,7457.3178710937855,0.0,0.0
21,7457.317871093747,7457.317871093751,0.0,0.0
22,7457.3178710937655,7457.317871093766,0.0,0.0
23,7457.317871093747,6.6067729722325374e-12,0.0,0.0
