HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,178.59264937944917,178.27660942077657,0.0,0.0
1,178.59264937945088,178.27660942077642,0.0,0.0
2,179.1230462903686,178.27660942077475,0.0,0.0
3,188.31471638296625,178.46314987769628,0.0,0.0
4,241.45364993742066,180.20576110252986,0.0,0.0
5,377.28528457582854,185.81096502450762,0.0,0.0
6,580.6213950087839,203.94314795273988,0.0,0.0
7,779.2555039796775,249.34232521057228,0.0,0.0
8,903.7758513702723,310.23235423748304,0.0,0.0
9,941.8397013930958,357.033509914691,0.0,0.0
10,930.2202092897837,375.78118412311267,0.0,0.0
11,877.0009789594731,376.9543074094334,0.0,0.0
12,794.128097183402,365.62954990680544,0.0,0.0
13,693.5558478110586,337.267440355741,0.0,0.0
14,594.731645781416,293.6955115978535,0.0,0.0
15,501.4517262776683,248.70180085989165,0.0,0.0
16,418.6482678994374,209.91357495234615,0.0,0.0
17,353.30457139289206,185.429716550387,0.0,0.0
18,295.5763082686949,181.01644119849567,0.0,0.0
19,245.75781442926956,178.62637431804959,0.0,0.0
20,207.88134134226988,178.27660942077654,0.0,0.0
21,185.51855983222782,178.27660942077657,0.0,0.0
22,179.21399755953001,178.27660942077625,0.0,0.0
23,178.59264937945582,-0.3160399586730023,0.0,0.0
