HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,16.5204005771209,16.449472629106968,0.0,0.0
1,15.437179035610411,15.42927910731397,0.0,0.0
2,14.879108005099464,15.555026953036766,0.0,0.0
3,16.77421131353355,18.387646876848873,0.0,0.0
4,21.705088443682953,24.242360023351786,0.0,0.0
5,29.861975454279047,32.65306502122135,0.0,0.0
6,40.532536766082806,42.30157734797545,0.0,0.0
7,50.84645065950693,51.43366347826455,0.0,0.0
8,57.010728448743436,57.172795075636614,0.0,0.0
9,58.98985759691233,59.136430997114815,0.0,0.0
10,59.301516697324345,59.45773696899411,0.0,0.0
11,59.3015166973243,59.457736968994126,0.0,0.0
12,59.30151669732436,59.45773696899428,0.0,0.0
13,59.301516697324516,59.45773696899417,0.0,0.0
14,59.30151669732436,59.457736968994084,0.0,0.0
15,59.07499785441536,59.230346899766175,0.0,0.0
16,58.04745886791723,58.15773982268114,0.0,0.0
17,54.9498707563027,55.03256372305057,0.0,0.0
18,49.335394731426376,49.36937996057358,0.0,0.0
19,41.70743395633592,41.65773039597729,0.0,0.0
20,33.52290184927189,33.35493095104509,0.0,0.0
21,24.81646703668965,24.81107517389153,0.0,0.0
22,18.855919213130683,18.998704836918716,0.0,0.0
23,17.123854107327443,0.6231279210151639,0.0,0.0
