HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,3321.8718057529486,3330.390711750463,21.284669441941162,-16.942538713662344
1,3201.8361659647076,3210.4003154404727,21.284669441941162,-16.942538713662344
2,3131.188535021249,3138.2961612103377,21.284669441941162,-16.942538713662344
3,3321.0809649129715,3346.472508520884,21.284669441941162,-16.942538713662344
4,3613.5701734543013,3634.1650113111987,21.284669441941162,-16.942538713662344
5,3945.4057025215516,3919.687096803478,21.284669441941162,-16.942538713662344
6,4881.860464911702,4658.891198394387,21.284669441941162,-16.942538713662344
7,6259.397126273132,6110.1973704926195,21.284669441941162,-16.942538713662344
8,7125.748170787198,7136.6352609402065,21.284669441941162,-16.942538713662344
9,7163.5046679882125,7173.304437225208,21.284669441941162,-16.942538713662344
10,7160.845383668051,7167.345072325554,21.284669441941162,-16.942538713662344
11,7165.206127297669,7174.907246981961,21.284669441941162,-16.942538713662344
12,7163.730338362778,7174.471102564168,21.284669441941162,-16.942538713662344
13,7167.291103932099,7184.461498094697,21.284669441941162,-16.942538713662344
14,7163.922950271185,7182.827274473374,21.284669441941162,-16.942538713662344
15,7163.666246001688,7181.730806656398,21.284669441941162,-16.942538713662344
16,7158.692641270867,7174.907382822279,21.284669441941162,-16.942538713662344
17,7148.578472922221,7164.6189252888325,21.284669441941162,-16.942538713662344
18,7132.045555583345,7144.071444464744,21.284669441941162,-16.942538713662344
19,6935.820996017587,6944.4847995752225,21.284669441941162,-16.942538713662344
20,6771.571302898898,6780.129947343392,21.284669441941162,-16.942538713662344
21,5239.798280584081,5246.119910398293,21.284669441941162,-16.942538713662344
22,4014.856847371496,4049.451621200554,21.284669441941162,-16.942538713662344
23,3623.5607221613477,318.47041702557635,21.284669441941162,-16.942538713662344
