HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,3478.5736107369084,3478.606520432694,0.0,0.0
1,3478.467617224897,3478.49946242112,0.0,0.0
2,3478.5396312260173,3478.4273282564423,0.0,0.0
3,3481.5079359735005,3478.3590322641357,0.0,0.0
4,3503.9885777732798,3480.4221754807695,0.0,0.0
5,3568.704274612342,3480.504476693952,0.0,0.0
6,3698.0267460265104,3480.708320030793,0.0,0.0
7,3879.6819362128654,3480.6958195613092,0.0,0.0
8,4058.7115567378933,3484.6263615534867,0.0,0.0
9,4169.146923079777,3489.3585838904673,0.0,0.0
10,4195.100961034768,3493.3222398024313,0.0,0.0
11,4187.4718480603315,3498.7957435021026,0.0,0.0
12,4142.975839432158,3502.0084651066904,0.0,0.0
13,4054.6976743968426,3505.0615351750293,0.0,0.0
14,3958.9673525053668,3506.324209359973,0.0,0.0
15,3800.893267518248,3502.1404395470236,0.0,0.0
16,3650.4718770579047,3497.731788048382,0.0,0.0
17,3559.461967380566,3492.6293147160413,0.0,0.0
18,3510.864815313676,3489.085073617783,0.0,0.0
19,3491.6564529827847,3487.7885812612653,0.0,0.0
20,3485.343782739183,3485.074399507964,0.0,0.0
21,3483.1492410126443,3483.18225567157,0.0,0.0
22,3480.5678767061822,3480.5971632737314,0.0,0.0
23,3478.637048947889,0.07945604493784231,0.0,0.0
