HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,2374.7112957599707,2371.2980792705853,0.0,0.0
1,2373.9832693516387,2370.932657095098,0.0,0.0
2,2377.8961102131,2371.5463139460503,0.0,0.0
3,2387.5000084187004,2372.9207481971234,0.0,0.0
4,2418.082448440489,2379.281590388373,0.0,0.0
5,2477.233859591995,2388.6249295748144,0.0,0.0
6,2567.077326164477,2399.739978496842,0.0,0.0
7,2663.7975877783656,2411.738396277801,0.0,0.0
8,2733.0966001780926,2424.347482534557,0.0,0.0
9,2761.015465981185,2430.8613140399593,0.0,0.0
10,2766.4363952870494,2430.491926926833,0.0,0.0
11,2770.87329382183,2430.6444889948925,0.0,0.0
12,2769.271901565485,2428.7912292480614,0.0,0.0
13,2759.061777867572,2429.04869901217,0.0,0.0
14,2734.7001775397953,2428.3155658428477,0.0,0.0
15,2683.905887062973,2420.9960796649643,0.0,0.0
16,2610.605635252047,2414.7774587777985,0.0,0.0
17,2524.437664631223,2406.150310809793,0.0,0.0
18,2461.378637788838,2399.184049166164,0.0,0.0
19,2430.253618145334,2393.6641634427583,0.0,0.0
20,2409.6088680106704,2386.8381535456747,0.0,0.0
21,2395.4263752319894,2381.601891150839,0.0,0.0
22,2384.3210355678307,2375.982900766223,0.0,0.0
23,2376.871227512896,-2.7494990727735455,0.0,0.0
