HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,20.135150726727343,20.133019447326678,0.0,0.0
1,20.13515072672749,20.133019447326618,0.0,0.0
2,20.135150726727385,20.13301944732654,0.0,0.0
3,20.135150726728174,20.13301944732673,0.0,0.0
4,20.13515072672755,20.133019447326674,0.0,0.0
5,20.135150726727424,20.13301944732661,0.0,0.0
6,23.43004426919713,20.133019447326635,0.0,0.0
7,29.481000257177733,20.133019447326717,0.0,0.0
8,36.18181999615774,20.13301944732667,0.0,0.0
9,39.27914300823558,20.133019447326618,0.0,0.0
10,38.04831615901075,20.133019447326657,0.0,0.0
11,38.11096316370458,20.133019447326664,0.0,0.0
12,38.32277940333567,20.13301944732679,0.0,0.0
13,37.58803041684665,20.133019447326657,0.0,0.0
14,36.89205601571606,20.133019447326653,0.0,0.0
15,35.5696104714696,20.133019447326657,0.0,0.0
16,32.71212750285073,20.133019447326696,0.0,0.0
17,28.019514558872466,20.133019447326635,0.0,0.0
18,22.64410393082762,20.13301944732664,0.0,0.0
19,20.135150726727396,20.133019447326657,0.0,0.0
20,20.135150726727726,20.13301944732667,0.0,0.0
21,20.135150726727684,20.13301944732664,0.0,0.0
22,20.135150726727623,20.13301944732663,0.0,0.0
23,20.126658823298516,-0.009825872243395262,0.0,0.0
