HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,2682.043836805516,2677.9798302283666,0.0,0.0
1,2548.418484157965,2548.730712890622,0.0,0.0
2,2530.560682508647,2536.4340538611586,0.0,0.0
3,2591.2121310764696,2555.656024639434,0.0,0.0
4,2989.81572808159,2693.720764160156,0.0,0.0
5,3561.074517144073,3201.4576509915773,0.0,0.0
6,4020.772298177193,3839.7563382662206,0.0,0.0
7,4315.425835503456,4263.767094538771,0.0,0.0
8,4451.486599392345,4449.299701397234,0.0,0.0
9,4289.988823784697,4288.343524639415,0.0,0.0
10,4116.215006510409,4116.057419996992,0.0,0.0
11,4094.204942491302,4094.563298152043,0.0,0.0
12,4082.2971191406104,4082.3027343750146,0.0,0.0
13,4060.463270399292,4059.3245661808896,0.0,0.0
14,3927.325385199628,3924.780085637018,0.0,0.0
15,3887.794216579852,3885.434114896332,0.0,0.0
16,4052.471842447929,4050.5328885591953,0.0,0.0
17,4343.196017795136,4341.1253098707875,0.0,0.0
18,4624.297851562476,4617.329618013819,0.0,0.0
19,4585.65917968747,4574.299898587738,0.0,0.0
20,4100.886610243069,4080.4200251652633,0.0,0.0
21,3551.146999782995,3526.0295175405636,0.0,0.0
22,3143.3659396701414,3123.7742121769766,0.0,0.0
23,2882.513563368089,192.25717215256284,0.0,0.0
