HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,807.2160441080613,807.0222144493705,0.0,0.0
1,729.0426567925286,728.8970536452067,0.0,0.0
2,699.1554904513787,699.157022329471,0.0,0.0
3,717.8684217665196,717.9391690767778,0.0,0.0
4,862.1383734809017,862.6366600623505,0.0,0.0
5,1075.6387532551996,1076.0612792968718,0.0,0.0
6,1216.5525987413614,1216.7565542367772,0.0,0.0
7,1292.0641276041624,1292.1913921649668,0.0,0.0
8,1326.5378824869758,1326.5686622032758,0.0,0.0
9,1352.3912896050272,1352.4661020132185,0.0,0.0
10,1380.4513888888855,1380.499462421124,0.0,0.0
11,1390.47828504774,1390.478391207182,0.0,0.0
12,1397.0692409939202,1397.0945058969414,0.0,0.0
13,1408.506795247395,1408.530573918269,0.0,0.0
14,1451.309407552076,1451.4550100473252,0.0,0.0
15,1518.9603814019074,1519.1040954589848,0.0,0.0
16,1580.403198242192,1580.5245455228373,0.0,0.0
17,1610.0514594184,1610.0684133676368,0.0,0.0
18,1605.5485026041588,1605.5176203801066,0.0,0.0
19,1498.2278510199549,1497.8397850623492,0.0,0.0
20,1298.1838243272637,1297.724876990686,0.0,0.0
21,1123.9455159505264,1123.6425264798665,0.0,0.0
22,1013.474161783855,1013.2916635366571,0.0,0.0
23,910.0129869249256,102.54501381899594,0.0,0.0
