HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,7228.260474661889,6978.689896803429,0.0,-1304.5757692217032
1,6452.69668427103,6309.944246732173,0.0,-1304.5757692217032
2,5937.020125699694,5810.370218130192,0.0,-1304.5757692217032
3,5487.6061914895745,5421.250582181271,0.0,-1304.5757692217032
4,5809.5972910862765,5355.993976299394,0.0,-1304.5757692217032
5,6544.586724643137,5941.729023859958,0.0,-1304.5757692217032
6,7859.001925998076,7372.408082228352,0.0,-1304.5757692217032
7,10086.744309179454,9589.449163653484,0.0,-1304.5757692217032
8,12438.223266354467,11999.917829739336,0.0,-1304.5757692217032
9,14425.208239306017,14129.013752969962,0.0,-1304.5757692217032
10,15841.819772907269,15638.718062997801,0.0,-1304.5757692217032
11,16614.516877309725,16525.55172758842,0.0,-1304.5757692217032
12,17522.470304643168,17502.499657620225,0.0,-1304.5757692217032
13,18440.83717126143,18150.914342333628,0.0,-1304.5757692217032
14,18961.93081766856,18584.901616722964,0.0,-1304.5757692217032
15,19247.825929123603,18876.107071341077,0.0,-1304.5757692217032
16,18313.709533818892,18035.898189150903,0.0,-1304.5757692217032
17,16910.776776482133,16750.245860735864,0.0,-1304.5757692217032
18,15125.34378365119,15109.525666615029,0.0,-1304.5757692217032
19,13977.133516625983,13796.6801462447,0.0,-1304.5757692217032
20,12721.131669784498,12542.577017257372,0.0,-1304.5757692217032
21,10992.023914598358,10910.428236741129,0.0,-1304.5757692217032
22,9376.81709847033,9204.979752760522,0.0,-1304.5757692217032
23,8093.660498562799,742.5432973106724,0.0,-1304.5757692217032
