HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,2921.9711624086694,2921.815164419324,0.0,0.0
1,2854.4768683773164,2854.420781062197,0.0,0.0
2,2834.7503657432067,2834.796574519213,0.0,0.0
3,2906.425068471699,2906.742210975071,0.0,0.0
4,3067.2226169629976,3067.6612008901757,0.0,0.0
5,3207.78938802081,3208.0545795147164,0.0,0.0
6,3296.2164825791306,3296.421691894526,0.0,0.0
7,3368.7181064415563,3368.9030409592924,0.0,0.0
8,3443.4393174913084,3443.6939978966375,0.0,0.0
9,3489.0209100364987,3489.112457275383,0.0,0.0
10,3499.4389854226433,3499.489206167366,0.0,0.0
11,3509.750185210115,3509.829526461088,0.0,0.0
12,3516.257785373253,3516.281395545391,0.0,0.0
13,3524.316685935995,3524.3874582143917,0.0,0.0
14,3530.0722796560513,3530.1353454589826,0.0,0.0
15,3518.5801220890107,3518.601008488581,0.0,0.0
16,3498.41369301516,3498.4300654484723,0.0,0.0
17,3458.612080190369,3458.542386568504,0.0,0.0
18,3419.8542555300937,3419.841578556936,0.0,0.0
19,3378.44852093807,3378.376112717847,0.0,0.0
20,3298.3162799703855,3298.1194598858197,0.0,0.0
21,3193.823213189965,3193.623673659101,0.0,0.0
22,3098.948826815437,3098.7987929124038,0.0,0.0
23,3013.611019441482,91.50767247714464,0.0,0.0
