HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,15617.407989852372,12739.303138146057,0.0,0.0
1,14985.081862876988,12050.561373197232,0.0,0.0
2,16427.827874311202,13428.13878455514,0.0,0.0
3,24917.32896686515,15935.342895507985,0.0,0.0
4,39767.86488640438,17596.979135366622,0.0,0.0
5,55255.794985482215,18552.56806828429,0.0,0.0
6,66759.65945282682,19524.280620868405,0.0,0.0
7,72084.78145578888,20165.572237455057,0.0,0.0
8,73421.54239254064,20363.237764798687,0.0,0.0
9,73607.85457824454,20344.820472130472,0.0,0.0
10,73618.20648497359,19899.32809682997,0.0,0.0
11,73618.20648497358,19228.131835937522,0.0,0.0
12,73608.43818845777,18755.957425631193,0.0,0.0
13,73452.6798670976,18574.14710411671,0.0,0.0
14,72524.48902209033,18502.795278695965,0.0,0.0
15,69578.90024844336,18347.889592097366,0.0,0.0
16,63329.37801200326,17897.56723257218,0.0,0.0
17,54863.55690627989,17587.430448092033,0.0,0.0
18,46053.14565747703,17249.367365910493,0.0,0.0
19,37272.268809117275,16841.69231708235,0.0,0.0
20,30529.70386958227,16573.85515887923,0.0,0.0
21,26687.15876810962,16210.660391000692,0.0,0.0
22,21900.236593780024,15129.150907076351,0.0,0.0
23,17425.04069384613,-1638.716151661278,0.0,0.0
