HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,460.0276753509487,460.7063974233775,0.0,0.0
1,459.9468437574767,460.70639742337937,0.0,0.0
2,459.94684375746624,460.7063974233721,0.0,0.0
3,472.02710966501473,462.76053912823727,0.0,0.0
4,593.8805056750957,481.4871562077457,0.0,0.0
5,1113.7267156725056,605.4787926307088,0.0,0.0
6,2203.333755083967,784.1781293428871,0.0,0.0
7,3602.5383210748478,989.7494474557777,0.0,0.0
8,4753.458855289143,1122.709095881534,0.0,0.0
9,5293.497434886464,1169.8329943143412,0.0,0.0
10,5406.493593764026,1110.6485566359324,0.0,0.0
11,5414.536185545931,963.1801094642062,0.0,0.0
12,5398.7350638086255,783.1360593942557,0.0,0.0
13,5263.319154352062,707.3599695059003,0.0,0.0
14,4788.2926124777305,612.9762001037614,0.0,0.0
15,3858.8554164842594,519.7766092740584,0.0,0.0
16,2609.450403323122,474.97125508235234,0.0,0.0
17,1455.1522926535176,464.51791147085703,0.0,0.0
18,767.7806877048445,461.53836088914215,0.0,0.0
19,548.7442379070748,461.0079416128317,0.0,0.0
20,509.4303165596623,460.88383542574377,0.0,0.0
21,492.255965894219,460.7704279972989,0.0,0.0
22,473.8402153395193,460.7140238835267,0.0,0.0
23,462.1654277231645,0.678722072428247,0.0,0.0
