HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,15309.219273826367,10938.355656550495,0.0,0.0
1,15237.343495569765,11568.51809457636,0.0,0.0
2,17024.86428026196,11802.114126352055,0.0,0.0
3,23279.558260746602,12283.973247821636,0.0,0.0
4,31431.787797832785,13593.988271860004,0.0,0.0
5,40307.686542145384,14723.464158278239,0.0,0.0
6,44865.42241379384,14962.680936373197,0.0,0.0
7,44020.52297728077,15325.893667367895,0.0,0.0
8,42061.05751616369,15560.49193396936,0.0,0.0
9,41307.79034961667,15590.81388033354,0.0,0.0
10,41093.34848314765,14984.578744741615,0.0,0.0
11,41539.31083497956,14462.417968750027,0.0,0.0
12,42145.86658884092,14359.392925556025,0.0,0.0
13,43156.64914092427,14424.15225923983,0.0,0.0
14,43839.643375089625,14295.17243840147,0.0,0.0
15,43264.924295827266,13901.998375525869,0.0,0.0
16,40368.02526341007,12001.962552584178,0.0,0.0
17,34310.45340562135,10534.494788536722,0.0,0.0
18,29155.46666591818,10695.312744140654,0.0,0.0
19,25086.574432022055,11116.22183931794,0.0,0.0
20,21414.169828334645,11350.058180588954,0.0,0.0
21,18505.896181304022,11349.983886718806,0.0,0.0
22,16820.156609195463,11349.983886718772,0.0,0.0
23,15526.054115032557,-3166.718719814956,0.0,0.0
