HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,-10920.898063145853,-10576.963890898172,0.0,-1608.664527751598
1,-9729.440533506895,-9113.361941854684,0.0,-1608.664527751598
2,-8783.347079231346,-8209.396986748781,0.0,-1608.664527751598
3,-7599.920349177753,-7405.013158181238,0.0,-1608.664527751598
4,-6396.0419011601825,-6258.680126502838,0.0,-1608.664527751598
5,-4784.560737335444,-5241.455447318873,0.0,-1608.664527751598
6,-2907.3687211436154,-3708.84207163309,0.0,-1608.664527751598
7,4426.023244849353,155.54491047602824,0.0,-1608.664527751598
8,8497.754402260654,5130.547614899086,0.0,-1608.664527751598
9,20367.572279532156,12812.493363747051,0.0,-1608.664527751598
10,26455.874576214985,20984.194860191972,0.0,-1608.664527751598
11,28252.352362271442,24055.08989269507,0.0,-1608.664527751598
12,30202.169851759354,25565.525720380123,0.0,-1608.664527751598
13,31716.84653838852,26368.136622007885,0.0,-1608.664527751598
14,32192.371624501633,24151.18742854646,0.0,-1608.664527751598
15,30144.91633770083,22520.902637643158,0.0,-1608.664527751598
16,21127.719099821305,16794.460943182545,0.0,-1608.664527751598
17,15131.7716271492,9065.063659440917,0.0,-1608.664527751598
18,8736.375587000313,2558.522820061853,0.0,-1608.664527751598
19,4721.742664146475,-3432.4958675413955,0.0,-1608.664527751598
20,-1700.406173826339,-7782.211378355569,0.0,-1608.664527751598
21,-8702.63239049619,-11143.197748134064,0.0,-1608.664527751598
22,-12932.393259661425,-12553.506586579068,0.0,-1608.664527751598
23,-12311.27665961278,-687.4254460659615,0.0,-1608.664527751598
