HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,40.44523999151982,40.5544341894297,0.0,0.0
1,41.12642657985139,42.052865321819695,0.0,0.0
2,44.5129952704763,46.334823608398096,0.0,0.0
3,53.04250046302714,52.395171899062234,0.0,0.0
4,69.02571468426336,56.72549761258646,0.0,0.0
5,94.65001060222701,58.65291111285869,0.0,0.0
6,120.78342323741896,59.32011208167438,0.0,0.0
7,136.93557321248807,59.40444183349638,0.0,0.0
8,143.15970512185478,59.40444183349612,0.0,0.0
9,144.83654498688506,59.38691821465125,0.0,0.0
10,145.35786712763382,59.22929969200722,0.0,0.0
11,145.39065230212415,58.668971721942654,0.0,0.0
12,144.877982333245,57.24818581801233,0.0,0.0
13,141.6883784619327,54.53670299970199,0.0,0.0
14,131.7271430940001,49.38531358425435,0.0,0.0
15,118.09821506660987,44.36738120592561,0.0,0.0
16,101.9125291378565,41.697810649871954,0.0,0.0
17,79.6673273839256,41.21368686969478,0.0,0.0
18,59.48938084744816,40.97752754504866,0.0,0.0
19,47.43448346601991,40.47586228297314,0.0,0.0
20,42.50598736467069,40.38048934936528,0.0,0.0
21,41.414710647758845,40.38048934936531,0.0,0.0
22,40.889821955070836,40.38048934936523,0.0,0.0
23,40.51232110677623,-0.06475064215461135,0.0,0.0
