HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,152.9646802880189,158.33368345407305,0.0,0.0
1,152.9931227293007,158.32019805908374,0.0,0.0
2,157.27691346382943,160.24204356853366,0.0,0.0
3,201.56584471489444,174.4554490309556,0.0,0.0
4,421.78337687641886,212.92411789527256,0.0,0.0
5,1003.5187470885445,340.32809550945547,0.0,0.0
6,1640.581541097974,682.4659033555254,0.0,0.0
7,2071.319421877802,1073.9215984344519,0.0,0.0
8,2404.105295524739,1376.0905811603245,0.0,0.0
9,2614.095991989652,1620.6786724970864,0.0,0.0
10,2679.3318677880247,1758.3735087468076,0.0,0.0
11,2687.3400597700156,1781.8665448702304,0.0,0.0
12,2685.1640684047393,1738.8863366934017,0.0,0.0
13,2659.8964088995313,1647.3450939471907,0.0,0.0
14,2557.167166348155,1487.900037912222,0.0,0.0
15,2269.9212817780326,1209.705140920786,0.0,0.0
16,1701.1694150610488,888.0021931574898,0.0,0.0
17,1100.9048286525667,625.3467618502115,0.0,0.0
18,711.089925714829,418.8074775108938,0.0,0.0
19,467.94516482297433,272.13327906682025,0.0,0.0
20,302.26706043696925,195.8410367232102,0.0,0.0
21,196.75494016450799,167.76615538964168,0.0,0.0
22,156.67527420219758,160.2112057025624,0.0,0.0
23,153.52109577282434,5.618790863480061,0.0,0.0
