HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,10733.090962493887,10732.991727388833,0.0,0.0
1,10728.146716355302,10726.967163085923,0.0,0.0
2,10733.821839080358,10727.211791992126,0.0,0.0
3,10760.005705968906,10739.899601863017,0.0,0.0
4,11066.018700610613,11030.431321364187,0.0,0.0
5,11343.891219917303,11282.683509239752,0.0,0.0
6,11461.7214813821,11358.584463266208,0.0,0.0
7,11569.471915409433,11425.429912860604,0.0,0.0
8,11967.390295737512,11819.094529372007,0.0,0.0
9,12268.037962464006,12135.174137995766,0.0,0.0
10,12323.74909078659,12195.05397385817,0.0,0.0
11,12620.890628741561,12482.375723031852,0.0,0.0
12,12825.688824533006,12675.38287823024,0.0,0.0
13,13078.09354046932,12925.262441781844,0.0,0.0
14,13247.619997455618,13100.851684570303,0.0,0.0
15,12923.459321120652,12786.996178260215,0.0,0.0
16,12639.194320971079,12516.17489858776,0.0,0.0
17,12261.070985991357,12153.26573768027,0.0,0.0
18,11981.169981740826,11890.861750676067,0.0,0.0
19,11910.289530202248,11840.072660006008,0.0,0.0
20,11586.510454082922,11540.515709510226,0.0,0.0
21,11289.986414182276,11268.038433368376,0.0,0.0
22,10970.793110931516,10962.711087740367,0.0,0.0
23,10734.655591475206,0.5082149399981972,0.0,0.0
